Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
1287.825000,1275.82500,-,,,W6HRO,"Anaheim - HRO",Orange,California,DSTAR ,
1287.700000,1275.70000,-,CSQ,,W6KRW,"Irvine - Signal Peak",Orange,California,FM ,
1287.650000,1275.65000,-,88.5,,W6KRW,"Santiago Peak",Orange,California,FM ,
1287.500000,1275.50000,-,100.0,,W6RLW,"Fountain Valley",Orange,California,FM ,
1286.450000,1274.45000,-,88.5,,K6ITR,"Santiago Peak",Orange,California,FM ,
1286.150000,1274.15000,-,85.4,,WA6SVT,"Santiago Peak",Orange,California,FM ,
1283.150000,1271.15000,-,CSQ,,W6OPD,"Orange",Orange,California,FM ,
1282.775000,1270.77500,-,88.5,,W6KRW,"San Clemente",Orange,California,FM ,
1282.600000,1270.60000,-,,,K6SOA,"Laguna Beach - Temple Hill",Orange,California,DSTAR ,
927.187500,902.18750,-,103.5,103.5,N6OCS,"Irvine - Signal Peak",Orange,California,FM ,
927.175000,902.17500,-,123.0,123.0,N6OCS,"Dana Point",Orange,California,FM ,
927.137500,902.13750,-,D411,D411,N6EX,"Silvarado - Hagador Peak",Orange,California,FM AllStar ,
927.125000,902.12500,-,103.5,103.5,N6OCS,"Santiago Peak",Orange,California,FM ,
449.940000,444.94000,-,D054,127.3,WR6SGO,"Santiago Peak",Orange,California,FM ,
449.800000,444.80000,-,94.8,94.8,WA6DPB,"Santiago Peak",Orange,California,FM ,
449.760000,444.76000,-,131.8,,WA6DPB,"Santiago Peak",Orange,California,FM ,
449.740000,444.74000,-,131.8,,WA6TTL,"Santiago Peak",Orange,California,FM ,
449.680000,444.68000,-,131.8,131.8,W6KRW,"Corona - Sierra Peak",Orange,California,FM ,
449.440000,444.44000,-,127.3,127.3,W0PE,"Corona - Sierra Peak",Orange,California,FM ,
449.400000,444.40000,-,146.2,127.3,WA6SBH,"Santiago Peak",Orange,California,FM ,
449.300000,444.30000,-,141.3,,KC6YNQ,"Seal Beach",Orange,California,FM ,
449.280000,444.28000,-,127.3,127.3,WB6VSJ,"Irvine - Signal Peak",Orange,California,FM AllStar ,
449.100000,444.10000,-,110.9,110.9,W6KRW,"Tustin - Loma Ridge",Orange,California,FM ,
449.037500,444.03750,-,,,KA6P,"Santiago Peak",Orange,California,DMR ,1
448.920000,443.92000,-,91.5,,N6SLD,"Santiago Peak",Orange,California,FM ,
448.860000,443.86000,-,100.0,,KF6BXW,"Silverado - Hagador Peak",Orange,California,FM ,
448.760000,443.76000,-,141.3,146.2,W6RRN,"Santiago Peak",Orange,California,FM ,
448.720000,443.72000,-,114.8,114.8,WA3KEY,"Newport Beach - Westcliff",Orange,California,FM ,
448.640000,443.64000,-,100.0,,WB6TZD,"Irvine - Signal Peak",Orange,California,FM ,
448.500000,443.50000,-,100.0,100.0,WA6VLD,"Silverado - Hagador Peak",Orange,California,FM ,
448.460000,443.46000,-,141.3,,K6PIN,"Corona - Pleasants Peak",Orange,California,FM Fusion ,
448.360000,443.36000,-,94.8,107.2,W7BF,"Corona - Pleasants Peak",Orange,California,FM ,
448.320000,443.32000,-,141.3,141.3,W6KRW,"Santiago Peak",Orange,California,FM ,
448.300000,443.30000,-,97.4,97.4,KE6BVI,"Santiago Peak",Orange,California,FM ,
448.280000,443.28000,-,107.2,107.2,K6ARN,"Corona - Sierra Peak",Orange,California,FM ,
448.260000,443.26000,-,127.3,127.3,K6IRF,"Santiago Peak",Orange,California,FM DMR DSTAR ,1
448.140000,443.14000,-,131.8,,WB6SRC,"Santiago Peak",Orange,California,FM ,
448.120000,443.12000,-,107.2,,KA6JRG,"Santiago Peak",Orange,California,FM ,
448.080000,443.08000,-,162.2,88.5,K6LNK,"Santiago Peak",Orange,California,FM ,
448.060000,443.06000,-,100.0,100.0,K6JSI,"Santiago Peak",Orange,California,FM AllStar ,
448.040000,443.04000,-,136.5,136.5,WD6AWP,"Santiago Peak",Orange,California,AllStar EchoLink P-25 ,927
448.000000,443.00000,-,131.8,123.0,N6RDK,"Santiago Peak",Orange,California,FM ,
447.940000,442.94000,-,100.0,100.0,W6HBR,"Huntington Beach",Orange,California,FM AllStar ,
447.920000,442.92000,-,151.4,151.4,AA6TL,"Santiago Peak",Orange,California,FM ,
447.880000,442.88000,-,D632,107.2,K6DLP,"Santiago Peak",Orange,California,FM ,
447.680000,442.68000,-,118.8,118.8,K6UHF,"Santiago Peak",Orange,California,FM ,
447.540000,442.54000,-,100.0,136.5,W6KGB,"Santiago Peak",Orange,California,FM ,
447.400000,442.40000,-,,,KC6AGL,"Irvine - Signal Peak",Orange,California,DMR ,1
447.380000,442.38000,-,141.3,141.3,W6YJ,"Santiago Peak",Orange,California,FM ,
447.320000,442.32000,-,94.8,,WA6FV,"Fountain Valley",Orange,California,FM ,
447.180000,442.18000,-,131.8,131.8,K6SOA,"Santiago Peak",Orange,California,FM ,
447.140000,442.14000,-,110.9,110.9,WA6TTL,"Santiago Peak",Orange,California,FM ,
446.920000,441.92000,-,127.3,,W6SCE,"Santiago Peak",Orange,California,FM ,
446.900000,441.90000,-,110.9,,WD6DIH,"Santiago Peak",Orange,California,FM ,
446.900000,441.90000,-,186.2,,WD6DIH,"Irvine - Signal Peak",Orange,California,FM ,
446.880000,441.88000,-,141.3,141.3,WR6AAC,"Santiago Peak",Orange,California,FM ,
446.840000,441.84000,-,114.8,,W6OCS,"Santiago Peak",Orange,California,FM ,
446.760000,441.76000,-,D073,D073,WD6FZA,"Santiago Peak",Orange,California,FM AllStar ,
446.720000,441.72000,-,186.2,186.2,N6KXK,"Irvine - City Hall",Orange,California,FM ,
446.640000,441.64000,-,77.0,77.0,KF6PHX,"Santiago Peak",Orange,California,FM EchoLink ,
446.560000,441.56000,-,,,KM6LVQ,"Santiago Peak",Orange,California,DSTAR ,
446.540000,441.54000,-,114.8,,N6MIK,"Yorba Linda",Orange,California,FM ,
446.540000,441.54000,-,192.8,,WB6DNX,"Brea - Brea Civic Center",Orange,California,FM ,
446.440000,441.44000,-,114.8,,K6QEH,"Fullerton - Raytheon Campus",Orange,California,FM ,
446.400000,441.40000,-,88.5,88.5,KM6RSY,"Seal Beach",Orange,California,FM ,
446.320000,441.32000,-,156.7,156.7,AA4CD,"Santiago Peak",Orange,California,FM ,
446.140000,441.14000,-,94.8,94.8,KB6CJZ,"Orange",Orange,California,FM ,
446.120000,441.12000,-,131.8,,W7HEN,"Silverado - Hagador Peak",Orange,California,FM AllStar ,
445.940000,440.94000,-,151.4,151.4,W6CTR,"Silverado - Hagador Peak",Orange,California,FM ,
